"stop_id","stop_name","stop_lon","stop_lat"
"8000001","Aachen Hbf",6.091499,50.7678
"8070704","Aachen Schanz",6.07384,50.769862
"8000404","Aachen West",6.070715,50.78036
"8000406","Aachen-Rothe Erde",6.116475,50.770202
"8000002","Aalen",10.096271,48.841013
"8007826","Abenden",6.476459,50.671085
"8000410","Abensberg",11.84662,48.819456
"8000412","Achern",8.065324,48.63399
"8007001","Achern Stadt",8.067706,48.625736
"8000413","Achim",9.030447,53.01599
"8007291","Achkarren",7.60787,48.060088
"8000414","Achmer",7.94216,52.390479
"8000416","Achterwehr",9.964024,54.314913
"8000418","Adelebsen",9.760044,51.57769
"8000419","Adelschlag",11.211443,48.840759
"8000420","Adelsdorf(Mittelfr)",10.687041,49.474944
"8000423","Adelsheim Nord",9.392754,49.42149
"8000424","Adelsheim Ost",9.395127,49.403123
"8011002","Adorf(Erzgeb)",12.873666,50.76385
"8010001","Adorf(Vogtl)",12.260789,50.323926
"8000431","Affaltrach",9.379012,49.137832
"8000433","Agatharied",11.824472,47.765606
"8000434","Agathenburg",9.531244,53.564111
"8007445","Aglasterhausen",8.990838,49.350097
"8000436","Aha",8.134349,47.833224
"8000437","Ahaus",7.016453,52.081681
"8079084","Ahlbeck Grenze",14.215549,53.921966
"8087025","Ahlbeck Ostseetherme",14.177287,53.944426
"8000441","Ahlen(Westf)",7.895488,51.761062
"8000442","Ahlhorn",8.209429,52.899321
"8000443","Ahlten",9.904613,52.376062
"8000457","Ahnatal Casselbreite",9.434061,51.36286
"8002675","Ahnatal-Heckershausen",9.422727,51.362991
"8006286","Ahnatal-Weimar",9.391588,51.363629
"8001209","Ahrbrück",6.972391,50.489679
"8000446","Ahrensburg",10.236206,53.669171
"8000480","Ahrensburg-Gartenholz",10.251786,53.688482
"8011003","Ahrensfelde",13.565154,52.571375
"8011004","Ahrensfelde Friedhof",13.573316,52.580882
"8011005","Ahrensfelde Nord",13.581985,52.590685
"8000448","Ahrweiler",7.107071,50.546544
"8000449","Ahrweiler Markt",7.094229,50.544228
"8000451","Aich(Niederbay)",12.398163,48.417315
"8000452","Aichach",11.122721,48.461117
"8000454","Aichstetten",10.07494,47.887884
"8072132","Aindorf",12.357742,47.987042
"8000459","Ainring",12.964501,47.815033
"8000463","Albbruck",8.131774,47.592235
"8000464","Albersdorf",9.292151,54.14632
"8000466","Albersweiler(Pfalz)",8.024464,49.21847
"8000468","Albig",8.116579,49.771375
"8070252","Albisheim(Pfrimm)",8.096752,49.644776
"8017000","Albrechtshaus",10.929267,51.642173
"8080040","Albrechtshof",13.128917,52.549396
"8000471","Albshausen",8.434869,50.545716
"8070096","Albsheim(Eis)",8.178998,49.580683
"8000473","Albstadt-Ebingen",9.026962,48.21029
"8079089","Albstadt-Ebingen West",8.996926,48.211507
"8000474","Albstadt-Laufen Ort",8.917316,48.222859
"8000475","Albstadt-Lautlingen",8.95462,48.213638
"8000477","Aldekerk",6.412542,51.435759
"8000481","Aldingen(b Spaichingen)",8.713033,48.095845
"8000482","Aletshausen",10.383631,48.201313
"8017001","Alexisbad",11.115311,51.648132
"8000483","Alfeld(Leine)",9.817779,51.981417
"8000495","Alfter-Impekoven",7.019831,50.711016
"8006516","Alfter-Witterschlick",7.026083,50.689698
"8000488","Algermissen",9.966472,52.25188
"8000489","Aligse",9.979349,52.403462
"8000492","Allendorf(Dillkr)",8.185486,50.743811
"8000496","Allensbach",9.068852,47.714464
