"stop_id","stop_name","stop_lon","stop_lat"
"8002549","Hamburg Hbf",10.006855,53.553659
"8000064","Celle",10.062741,52.621306
"8000199","Kiel Hbf",10.13211,54.314946
"8000238","Lüneburg",10.419909,53.250075
"8000049","Braunschweig Hbf",10.539699,52.252236
"8000168","Uelzen",10.553246,52.969378
"8000935","Bad Bevensen",10.574209,53.078255
"8000237","Lübeck Hbf",10.670349,53.867769
"8006552","Wolfsburg Hbf",10.788197,52.429495
"8000159","Helmstedt",11.010743,52.222212
"8010324","Schwerin Hbf",11.407554,53.63466
"8010054","Blankenheim(Sangerhausen)",11.42618,51.502824
"8010018","Bad Kleinen",11.468788,53.767179
"8010216","Ludwigslust",11.493778,53.335257
"8013336","Wolferode",11.508952,51.512038
"8012279","Lutherstadt Eisleben",11.550806,51.518186
"8010224","Magdeburg Hbf",11.6269,52.130343
"8010334","Stendal",11.854417,52.594725
"8010195","Köthen",11.989183,51.751852
"8010066","Bützow",11.996734,53.836082
"8010382","Wittenberge",12.022533,53.086741
"8013236","Warnemünde",12.090797,54.177762
"8011905","Hohenthurm",12.110061,51.531832
"8010304","Rostock Hbf",12.131716,54.078314
"8012147","Landsberg(b. Halle/Saale)",12.161102,51.554548
"8011260","Brehna",12.205293,51.574225
"8010077","Dessau Hbf",12.234948,51.839865
"8012788","Roitzsch(Bitterf)",12.243784,51.591358
"8013335","Wolfen(Bitterfeld)",12.296668,51.674293
"8010050","Bitterfeld",12.315653,51.623351
"8012763","Ribnitz-Damgarten West",12.436972,54.239176
"8010060","Brandenburg Hbf",12.513829,52.331539
"8010361","Waren(Müritz)",12.559944,53.557299
"8010222","Lutherstadt Wittenberg Hbf",12.662017,51.867525
"8010250","Neustrelitz Hbf",12.752996,53.32242
"8010355","Velgast",12.80463,54.27747
"8012666","Potsdam Hbf",12.879798,52.454871
"8010338","Stralsund Hbf",13.076977,54.30886
"8010406","Berlin Zoologischer Garten",13.155336,52.517616
"8010405","Berlin Wannsee",13.179705,52.421314
"8010404","Berlin-Spandau",13.19754,52.53448
"8011113","Berlin Südkreuz",13.365315,52.475043
"8011160","Berlin Hbf",13.369261,52.52558
"8098160","Berlin Hbf (tief)",13.369261,52.52558
"8010139","Greifswald",13.370564,54.093011
"8011102","Berlin Gesundbrunnen",13.38848,52.549249
"8011306","Berlin Friedrichstraße",13.396471,52.519495
"8010033","Bergen auf Rügen",13.418063,54.420623
"8010255","Berlin Ostbahnhof",13.434568,52.510982
"8010036","Berlin-Lichtenberg",13.496926,52.509894
"8010396","Züssow",13.548443,53.974516
"8012683","Prora",13.564066,54.444984
"8013470","Bernau(b Berlin)",13.593128,52.67624
"8011191","Ostseebad Binz",13.600508,54.40482
"8011044","Anklam",13.701673,53.856164
"8010093","Eberswalde Hbf",13.797543,52.834459
"8010282","Prenzlau",13.866499,53.321467
"8010268","Pasewalk",13.985292,53.506852
"8010004","Angermünde",13.996052,53.015636
"8010113","Frankfurt(Oder)",14.545724,52.336825
"8089124","Frankfurt(Oder)(Gr)",14.576404,52.321166
"5100082","Rzepin",14.814735,52.348628
