"stop_id","stop_name","stop_lon","stop_lat"
8010318,"Schönebeck(Elbe)",11.733157,52.018794
8010292,"Radebeul Ost",13.680163,51.098294
9001103,"Wiebestr./Huttenstr. (Berlin)",13.320255,52.528315
9001151,"Reuchlinstr. (Berlin)",13.323632,52.5279
9001152,"Neues Ufer (Berlin)",13.315976,52.5291
9001154,"Ilsenburger Str. (Berlin)",13.309834,52.525753
9001155,"Goslarer Platz (Berlin)",13.314256,52.525793
9001202,"Am Nordhafen (Berlin)",13.36361,52.53885
9001203,"Döberitzer Str. (Berlin)",13.368107,52.530665
9001204,"Lehrter Str./Invalidenstr. (Berlin)",13.365223,52.525764
9002101,"Turmstr./Waldstr. (Berlin)",13.33043,52.527104
9002102,"Turmstr./Beusselstr. (Berlin)",13.328743,52.527339
9002151,"Wittstocker Str. (Berlin)",13.32851,52.530856
9002201,"U Birkenstr. (Berlin)",13.341417,52.532229
9002202,"Wilsnacker Str. (Berlin)",13.351406,52.526363
9002203,"Stendaler Str. (Berlin)",13.350532,52.532458
9002204,"Perleberger Brücke (Berlin)",13.358033,52.535329
9002206,"Turmstr./Rathenower Str. (Berlin)",13.354805,52.526684
9002207,"Stromstr. (Berlin)",13.344006,52.529189
9002254,"Birkenstr./Rathenower Str. (Berlin)",13.352907,52.529654
9002255,"Seydlitzstr. (Berlin)",13.364158,52.527035
9002256,"Poststadion (Berlin)",13.362431,52.530281
9002257,"Kruppstr. (Berlin)",13.359639,52.533387
9002258,"Havelberger Str. (Berlin)",13.347673,52.531025
9003101,"U Hansaplatz (Berlin)",13.342165,52.518111
9003102,"S Bellevue (Berlin)",13.347098,52.519951
9003103,"S Tiergarten (Berlin)",13.336235,52.513963
9003104,"U Turmstr. (Berlin)",13.341417,52.525938
9003105,"Bachstr. (Berlin)",13.339573,52.518598
9003107,"Alt-Moabit/Gotzkowskystr. (Berlin)",13.329892,52.523929
9003152,"Solinger Str. (Berlin)",13.335728,52.520547
9003155,"Rathaus Tiergarten (Berlin)",13.339166,52.526062
9003156,"Ottostr. (Berlin)",13.334925,52.524681
9003181,"Zinzendorfstr. (Berlin)",13.331506,52.522221
9003201,"S+U Berlin Hauptbahnhof",13.368924,52.525847
9003202,"Kirchstr./Alt-Moabit (Berlin)",13.349582,52.524542
9003203,"Alt-Moabit/Rathenower Str. (Berlin)",13.35707,52.523692
9003204,"Kleiner Tiergarten (Berlin)",13.345764,52.52499
9003251,"Paulstr. (Berlin)",13.355662,52.520069
9003252,"Schloss Bellevue (Berlin)",13.354203,52.516715
9003253,"Haus der Kulturen der Welt (Berlin)",13.363364,52.517598
9003256,"Spenerstr. (Berlin)",13.353543,52.524002
9003257,"Lesser-Ury-Weg (Berlin)",13.361978,52.524211
9004101,"Großer Stern (Berlin)",13.350177,52.515143
9004104,"Reichstag/Bundestag (Berlin)",13.37648,52.517716
9004105,"Platz der Republik (Berlin)",13.370442,52.517786
9004151,"Nordische Botschaften/Adenauer-Stiftung (Berlin)",13.351406,52.509593
9004181,"Hertzallee (Berlin)",13.332615,52.509231
9005101,"Budapester Str. (Berlin)",13.345672,52.506567
9005103,"Schillstr. (Berlin)",13.349926,52.503103
9005105,"Lützowplatz (Berlin)",13.351557,52.5049
9005152,"Gedenkstätte Dt. Widerstand (Berlin)",13.363292,52.505736
9005154,"Köbisstr. (Berlin)",13.356266,52.507165
9005156,"Bayreuther Str. (Berlin)",13.343958,52.50443
9005201,"U Kurfürstenstr. (Berlin)",13.362814,52.49981
9005202,"Lützowstr./Potsdamer Str. (Berlin)",13.366003,52.503422
9005205,"Potsdamer Brücke (Berlin)",13.368306,52.505948
9005206,"Philharmonie (Berlin)",13.368434,52.51008
9005252,"U Mendelssohn-Bartholdy-Park (Berlin)",13.374719,52.503806
9005253,"Schöneberger Brücke (Berlin)",13.377751,52.502333
9005255,"Kulturforum (Berlin)",13.369181,52.507564
9006102,"Prinzenallee/Soldiner Str. (Berlin)",13.386241,52.558656
9006103,"Residenzstr./Reginhardstr. (Berlin)",13.370523,52.560142
9006104,"Soldiner Str./Koloniestr. (Berlin)",13.381051,52.560083
9006105,"Verlängerte Koloniestr. (Berlin)",13.384648,52.567545
9006153,"St.-Elisabeth-Kirchhof (Berlin)",13.387759,52.560498
9007102,"S+U Gesundbrunnen Bhf (Berlin)",13.388372,52.548637
9007103,"U Voltastr. (Berlin)",13.393157,52.54193
9007104,"S Nordbahnhof (Berlin)",13.388794,52.531673
9007105,"Wolliner Str. (Berlin)",13.4018,52.53977
9007106,"Usedomer Str./Feldstr. (Berlin)",13.387132,52.539233
9007107,"Ruppiner Str. (Berlin)",13.398978,52.539085
9007110,"U Bernauer Str. (Berlin)",13.396231,52.537994
9007111,"Lortzingstr. (Berlin)",13.399173,52.544304
9007112,"Gartenplatz (Berlin)",13.384276,52.538422
9007113,"Theodor-Heuss-Weg (Berlin)",13.385862,52.534952
9007114,"Gartenstr./Feldstr. (Berlin)",13.383818,52.536522
9007154,"Demminer Str. (Berlin)",13.399429,52.542611
9007155,"Gleimstr. (Berlin)",13.398079,52.546042
9007157,"Rügener Str. (Berlin)",13.390793,52.545014
9007159,"Humboldtsteg (Berlin)",13.381993,52.547391
9007160,"Grüntaler Str. (Berlin)",13.390796,52.555358
9007181,"Usedomer Str. (Berlin)",13.389467,52.539916
9008101,"S Humboldthain (Berlin)",13.378726,52.544742
9008102,"U Reinickendorfer Str. (Berlin)",13.370393,52.539895
9008103,"Nettelbeckplatz/S Wedding (Berlin)",13.370188,52.54467
9008106,"Brunnenplatz (Berlin)",13.377996,52.550142
9008151,"Gerichtstr./Hochstr. (Berlin)",13.375717,52.543258
9008153,"Wiesenstr. (Berlin)",13.373891,52.547593
9008158,"Schererstr. (Berlin)",13.369164,52.548214
9009101,"U Amrumer Str. (Berlin)",13.349534,52.542202
9009102,"U Leopoldplatz (Berlin)",13.359395,52.546493
9009103,"U Seestr. (Berlin)",13.351969,52.55047
9009104,"S+U Wedding (Berlin)",13.36606,52.542732
9009105,"Seestr./Amrumer Str. (Berlin)",13.344055,52.546219
9009151,"Gerichtstr. (Berlin)",13.362664,52.544478
9009152,"Rathaus Wedding (Berlin)",13.356577,52.547847
9009153,"Luxemburger Str. (Berlin)",13.35506,52.544053
9009154,"Samoastr. (Berlin)",13.354144,52.541601
9009155,"Kiautschoustr. (Berlin)",13.357665,52.541067
9009156,"Antwerpener Str. (Berlin)",13.348701,52.548683
9009201,"U Nauener Platz (Berlin)",13.367365,52.551524
9009202,"U Osloer Str. (Berlin)",13.373284,52.556938
9009203,"U Pankstr. (Berlin)",13.381837,52.552255
9009204,"Osloer Str./Prinzenallee (Berlin)",13.383663,52.555936
9009206,"Drontheimer Str. (Berlin)",13.377547,52.556529
9009251,"Maxstr. (Berlin)",13.363997,52.549415
9009252,"Exerzierstr. (Berlin)",13.371704,52.554017
9009253,"Uferstr. (Berlin)",13.378167,52.553259
9009254,"Ritterlandweg/Soldiner Str. (Berlin)",13.376929,52.560328
9010201,"Sylter Str. (Berlin)",13.336934,52.542327
9010251,"Virchow-Klinikum (Berlin)",13.338739,52.543493
9011101,"U Rehberge (Berlin)",13.341013,52.55667
9011102,"U Afrikanische Str. (Berlin)",13.333502,52.560862
9011103,"Otawistr. (Berlin)",13.336881,52.552681
9011104,"Glasgower Str. (Berlin)",13.345972,52.554915
9011105,"Londoner Str. (Berlin)",13.342898,52.563362
9011151,"Türkenstr. (Berlin)",13.346593,52.553506
9011152,"Bristolstr. (Berlin)",13.351614,52.558562
9011153,"Septimerstr. (Berlin)",13.338708,52.564254
9011154,"Nachtigalplatz (Berlin)",13.334651,52.55693
9011155,"Transvaalstr. (Berlin)",13.338887,52.550771
9011201,"Louise-Schroeder-Platz (Berlin)",13.365603,52.556982
9011206,"Holländerstr./Aroser Allee (Berlin)",13.353757,52.562088
9011207,"Brienzer Str. (Berlin)",13.359578,52.561949
9011251,"Iranische Str. (Berlin)",13.365956,52.555063
9011252,"Osram-Höfe (Berlin)",13.358291,52.553696
9012101,"S Anhalter Bahnhof (Berlin)",13.382077,52.504538
9012102,"U Kochstr./Checkpoint Charlie (Berlin)",13.390863,52.506673
9012103,"U Hallesches Tor (Berlin)",13.39176,52.497774
9012104,"Lindenstr./Oranienstr. (Berlin)",13.398369,52.506962
9012105,"Abgeordnetenhaus (Berlin)",13.379666,52.506553
9012151,"Willy-Brandt-Haus (Berlin)",13.38744,52.500413
9012152,"Blücherstr. (Berlin)",13.396616,52.495785
9012153,"Wilhelmstr./Kochstr. (Berlin)",13.386361,52.50589
9012154,"Charlottenstr. (Berlin)",13.393536,52.506885
9012155,"Waldeckpark (Berlin)",13.401835,52.506175
9012156,"Alexandrinenstr. (Berlin)",13.405322,52.505154
9012157,"Jüdisches Museum (Berlin)",13.395639,52.503543
9012158,"Franz-Klühs-Str. (Berlin)",13.394804,52.500417
9013101,"U Moritzplatz (Berlin)",13.410947,52.503739
9013102,"U Kottbusser Tor (Berlin)",13.417748,52.499047
9013103,"U Prinzenstr. (Berlin)",13.406531,52.498274
9013104,"Prinzenstr./Ritterstr. (Berlin)",13.409275,52.501647
9013151,"Segitzdamm (Berlin)",13.41434,52.500239
9013152,"Oranienplatz (Berlin)",13.41573,52.502244
9014101,"U Görlitzer Bahnhof (Berlin)",13.428468,52.499035
9014102,"U Schlesisches Tor (Berlin)",13.441791,52.501147
9014103,"Adalbertstr./Oranienstr. (Berlin)",13.419293,52.501285
9014104,"Manteuffelstr./Köpenicker Str. (Berlin)",13.432011,52.505634
9014105,"Waldemarstr./Manteuffelstr. (Berlin)",13.427919,52.501172
9014106,"Lausitzer Platz (Berlin)",13.431914,52.49947
9014107,"Bethaniendamm (Berlin)",13.428439,52.507214
9014151,"Waldemarstr./Adalbertstr. (Berlin)",13.421819,52.50289
9014152,"Mariannenplatz (Berlin)",13.424418,52.502203
9014153,"Wrangelstr. (Berlin)",13.430012,52.503492
9014154,"Eisenbahnstr. (Berlin)",13.434934,52.504475
9014155,"Falckensteinstr. (Berlin)",13.443949,52.500052
9014156,"Heinrichplatz (Berlin)",13.422912,52.500271
9015101,"Heckmannufer (Berlin)",13.449298,52.497011
9015103,"Glogauer Str. (Berlin)",13.437272,52.493536
9015104,"Ohlauer Str. (Berlin)",13.430476,52.495569
9015151,"Taborstr. (Berlin)",13.447261,52.498214
9015152,"Spreewaldplatz (Berlin)",13.43128,52.497644
9016101,"U Gneisenaustr. (Berlin)",13.395382,52.491252
9016103,"Zossener Brücke (Berlin)",13.395845,52.498427
9016151,"Marheinekeplatz (Berlin)",13.393821,52.489383
9016152,"Jüterboger Str. (Berlin)",13.394414,52.486248
9016153,"Gneisenaustr./Baerwaldstr. (Berlin)",13.400214,52.490386
9016154,"Urbanstr./Baerwaldstr. (Berlin)",13.403182,52.49391
9016157,"Tempelherrenstr. (Berlin)",13.400634,52.494335
9016201,"U Schönleinstr. (Berlin)",13.422241,52.493179
9016202,"U Südstern (Berlin)",13.407685,52.489219
9016203,"Geibelstr. (Berlin)",13.406787,52.493364
9016204,"Körtestr. (Berlin)",13.41234,52.492039
9016250,"Hasenheide (Berlin)",13.418968,52.487556
9016251,"Fichtestr. (Berlin)",13.412987,52.488338
9016252,"Graefestr. (Berlin)",13.416148,52.490969
9016254,"Wilmsstr. (Berlin)",13.404342,52.49519
9016255,"Kottbusser Brücke (Berlin)",13.420698,52.495534
9017100,"Obentrautstr./U Mehringdamm (Berlin)",13.389342,52.495817
9017101,"U Mehringdamm (Berlin)",13.388153,52.493575
9017102,"U Platz der Luftbrücke (Berlin)",13.386351,52.484977
9017103,"U Gleisdreieck (Berlin)",13.374293,52.499587
9017104,"U Möckernbrücke (Berlin)",13.383256,52.498944
9017105,"Yorckstr./Großbeerenstr. (Berlin)",13.383826,52.493634
9017106,"Platz der Luftbrücke (Berlin)",13.387038,52.483441
9017109,"Katzbachstr./Kreuzbergstr. (Berlin)",13.377064,52.48931
9017151,"Bergmannstr. (Berlin)",13.386511,52.490071
9017152,"Kreuzberg/Wasserfall (Berlin)",13.382333,52.490174
9017181,"Columbiadamm/Platz der Luftbrücke (Berlin)",13.390012,52.484359
9018101,"U Jakob-Kaiser-Platz (Berlin)",13.293661,52.536985
9018102,"U Halemweg (Berlin)",13.286578,52.536703
9018103,"Weltlingerbrücke (Berlin)",13.295064,52.539576
9018105,"Hinckeldeybrücke (Berlin)",13.299222,52.546621
9018106,"Goerdelerdamm (Berlin)",13.29817,52.534949
9018151,"Habermannzeile (Berlin)",13.291279,52.539671
9018152,"Hofackerzeile (Berlin)",13.290865,52.537105
9018153,"Dahrendorfzeile (Berlin)",13.289038,52.535148
9019102,"Gloedenpfad (Berlin)",13.302134,52.539408
9019103,"Seestr./Beusselstr. (Berlin)",13.326346,52.53825
9019152,"Gedenkstätte Plötzensee (Berlin)",13.324383,52.5421
9019153,"Friedrich-Olbricht-Damm/Saatwinkler Damm (Berlin)",13.312577,52.547552
9019155,"Thaters Privatweg (Berlin)",13.310109,52.539446
9019156,"Kolonie Zukunft (Berlin)",13.305231,52.539464
9019158,"Berliner Großmarkt (Berlin)",13.327005,52.536651
9019202,"Reichweindamm (Berlin)",13.300402,52.535653
9019203,"Friedrich-Olbricht-Damm/Heckerdamm (Berlin)",13.314967,52.541216
9019204,"U Mierendorffplatz (Berlin)",13.305715,52.525978
9019205,"Quedlinburger Str. (Berlin)",13.305919,52.52292
9019252,"Wirmerzeile (Berlin)",13.302708,52.536903
9019253,"Keplerstr. (Berlin)",13.304866,52.528144
9020101,"Friedhöfe Fürstenbrunner Weg (Berlin)",13.279296,52.524469
9020102,"Rohrdammbrücke (Berlin)",13.26979,52.528499
9020103,"Kirschenallee (Berlin)",13.267228,52.520384
9020105,"Machandelweg (Berlin)",13.245063,52.524825
9020151,"Fürstenbrunner Weg (Berlin)",13.27993,52.520957
9020152,"Kastanienallee (Berlin)",13.272227,52.519513
9020153,"DRK-Kliniken Westend (Berlin)",13.276432,52.518712
9020201,"S+U Jungfernheide Bhf (Berlin)",13.299064,52.530275
9020204,"Sophie-Charlotten-Str. (Berlin)",13.286792,52.518816
9020206,"Pulsstr. (Berlin)",13.285612,52.52432
9020207,"Tegeler Weg/S Jungfernheide (Berlin)",13.296238,52.529407
9020208,"Osnabrücker Str. (Berlin)",13.297388,52.526914
9020252,"Schlossbrücke (Berlin)",13.299908,52.522941
9020271,"Mollwitzstr. (Berlin)",13.285903,52.522169
9020272,"Schlosspark-Klinik (Berlin)",13.288737,52.522839
9020281,"Goerdelersteg (Berlin)",13.305899,52.532177
9021102,"Marchbrücke (Berlin)",13.32375,52.51715
9021151,"Marchstr. (Berlin)",13.322639,52.513495
9021152,"Franklinstr. (Berlin)",13.328141,52.522043
9021181,"Helmholtzstr. (Berlin)",13.321238,52.520827
9022101,"U Sophie-Charlotte-Platz (Berlin)",13.297463,52.51097
9022103,"Klausenerplatz (Berlin)",13.291368,52.519125
9022105,"Haubachstr. (Berlin)",13.300864,52.515391
9022106,"Bismarckstr./Kaiser-Friedrich-Str. (Berlin)",13.301597,52.511284
9022151,"Eosanderstr. (Berlin)",13.304013,52.518268
9022152,"Seelingstr. (Berlin)",13.296444,52.516374
9022153,"Zillestr. (Berlin)",13.2969,52.513367
9022171,"Schloss Charlottenburg (Berlin)",13.295954,52.519255
9022172,"Luisenplatz/Schloss Charlottenburg (Berlin)",13.299632,52.519574
