"stop_id","stop_name","stop_lon","stop_lat"
"80006965","Neu Wokern, Neu Wokern",12.50092,53.76003
"80007081","Teterow, Teterow",12.57797,53.76843
"80006905","Lalendorf, Lalendorf",12.38642,53.755
"80006994","Plaaz, Plaaz",12.33771,53.84046
"80007033","Liessow (b Güstrow), Subzin-Liessow",12.34762,53.89192
"80006910","Langhagen, Langhagen",12.42522,53.68093
"80006900","Laage (Meckl), Laage (Meckl)",12.33961,53.9196
"80006978","Primerburg, Priemerburg",12.22303,53.79598
"80006892","Kronskamp (Kr LRO), Kronskamp",12.31539,53.93356
"80006928","Malchin, Malchin",12.76104,53.74341
"80001771","Güstrow, Güstrow",12.17284,53.8006
"80006925","Lüssow (Meckl), Lüssow (Meckl)",12.13786,53.84372
"80007067","Scharstorf, Scharstorf",12.24585,53.97008
"80007087","Tessin (b Rostock), Tessin",12.46262,54.03202
"80020136","Tessin (b Rostock), Westbahnhof",12.44257,54.03444
"80006939","Mistorf, Mistorf",12.12304,53.8805
"80001840","Schwaan, Schwaan",12.1179,53.93918
"80007020","Stavenhagen, Reuterstadt Stavenhagen",12.9142,53.70692
"80006856","Jabel (Meckl), Jabel (Meckl)",12.54756,53.54526
"80006896","Kavelstorf, Kavelstorf (Kr Rostock)",12.19782,54.00708
"80007072","Sanitz (b Rostock), Sanitz (b Rostock)",12.37659,54.07506
"80006800","Groß Lüsewitz, Groß Lüsewitz",12.33922,54.07341
"80007076","Schwenzin, Schwenzin",12.61201,53.53619
"80006854","Huckstorf, Huckstorf",12.11603,53.98448
"80006959","Nossentin, Nossentin",12.45218,53.5216
"80007107","Warenshof, Warenshof",12.64542,53.53079
"80001729","Bützow, Bützow",11.9982,53.83712
"80006985","Pölchow, Pölchow",12.12113,54.01103
"80006732","Broderstorf, Broderstorf",12.26277,54.07891
"80001849","Waren (Müritz), Waren (Müritz)",12.68073,53.52152
"80006975","Papendorf (b Doberan), Papendorf",12.13732,54.03661
"80007005","Roggentin (b Rostock), Roggentin",12.21309,54.07349
"80006929","Malchow (Meckl), Inselstadt Malchow",12.42381,53.48201
"80007012","Rostock, Rostock-Kassebohm",12.16331,54.07943
"80004644","Demmin, Demmin",13.05396,53.90114
"80021924","Rostock, Albrecht-Kossel-Platz",12.12956,54.07746
"80001823","Rostock, Hauptbahnhof",12.13108,54.07825
"80006708","Bentwisch (b Rostock), Bentwisch",12.2105,54.1172
"80013173","Rostock, Thierfelder Str.",12.09991,54.07788
"80007009","Rostock, Rostock Parkstraße",12.10789,54.08524
"80007101","Utzedel, Utzedel",13.11622,53.86072
"80007008","Rostock, Rostock Holbeinplatz",12.09946,54.0933
"80006941","Mönchhagen, Mönchhagen",12.22533,54.14357
"80006825","Groß Schwaß, Groß Schwaß",12.04612,54.07703
"80007000","Rostock, Rostock-Bramow",12.09055,54.10174
"80007044","Sternfeld, Sternfeld",13.15042,53.82477
"80007014","Rostock, Rostock-Marienehe",12.08007,54.11178
"80001828","Rövershagen, Rövershagen",12.24745,54.17557
"80006807","Gnevkow, Gnevkow",13.17467,53.79289
